食品名,エネルギー（kcal）
あずき　あん　さらしあん　（乾燥あん）,335
あずき　あん　こし練りあん　（並あん）,255
あずき　あん　こし練りあん　（中割りあん）,262
あずき　あん　こし練りあん　（もなかあん）,292
あずき　あん　つぶし練りあん,239
いんげんまめ　全粒　乾,280
いんげんまめ　全粒　ゆで,127
いんげんまめ　うずら豆,214
いんげんまめ　こし生あん,135
いんげんまめ　豆きんとん,238
えんどう　全粒　青えんどう　乾,310
えんどう　全粒　青えんどう　ゆで,129
えんどう　全粒　赤えんどう　乾,310
えんどう　全粒　赤えんどう　ゆで,129
えんどう　グリンピース（揚げ豆）,375
えんどう　塩豆,321
えんどう　うぐいす豆,228
ささげ　全粒　乾,280
ささげ　全粒　ゆで,130
そらまめ　全粒　乾,323
そらまめ　フライビーンズ,436
そらまめ　おたふく豆,237
そらまめ　ふき豆,251
そらまめ　しょうゆ豆,173
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,354
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,145
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,372
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,163
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,402
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,391
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,414
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,349
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,155
だいず　［全粒・全粒製品］　いり大豆　青大豆,425
だいず　［全粒・全粒製品］　いり大豆　黄大豆,429
だいず　［全粒・全粒製品］　いり大豆　黒大豆,431
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,186
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,424
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,418
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,451
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,456
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　青きな粉,392
だいず　［全粒・全粒製品］　きな粉（砂糖入り）　きな粉,406
だいず　［全粒・全粒製品］　大豆はいが,404
だいず　［全粒・全粒製品］　ぶどう豆,265
だいず　［豆腐・油揚げ類］　木綿豆腐,73
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,73
だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,73
だいず　［豆腐・油揚げ類］　絹ごし豆腐,56
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,56
だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,56
だいず　［豆腐・油揚げ類］　ソフト豆腐,56
だいず　［豆腐・油揚げ類］　充てん豆腐,56
だいず　［豆腐・油揚げ類］　沖縄豆腐,99
だいず　［豆腐・油揚げ類］　ゆし豆腐,47
だいず　［豆腐・油揚げ類］　焼き豆腐,82
だいず　［豆腐・油揚げ類］　生揚げ,143
だいず　［豆腐・油揚げ類］　油揚げ　生,377
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,266
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,164
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,361
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,231
だいず　［豆腐・油揚げ類］　がんもどき,223
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,496
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,104
だいず　［豆腐・油揚げ類］　豆腐よう,183
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,121
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,133
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,332
だいず　［納豆類］　糸引き納豆,190
だいず　［納豆類］　挽きわり納豆,185
だいず　［納豆類］　五斗納豆,214
だいず　［納豆類］　寺納豆,248
だいず　［その他］　おから　生,88
だいず　［その他］　おから　乾燥,333
だいず　［その他］　豆乳　豆乳,44
だいず　［その他］　豆乳　調製豆乳,63
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,59
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,318
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,313
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,335
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,335
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,365
だいず　［その他］　湯葉　生,218
だいず　［その他］　湯葉　干し　乾,485
だいず　［その他］　湯葉　干し　湯戻し,151
だいず　［その他］　金山寺みそ,247
だいず　［その他］　ひしおみそ,198
だいず　［その他］　テンペ,180
つるあずき　全粒　乾,297
つるあずき　全粒　ゆで,132
ひよこまめ　全粒　乾,336
ひよこまめ　全粒　ゆで,149
ひよこまめ　全粒　フライ　味付け,366
べにばないんげん　全粒　乾,273
べにばないんげん　全粒　ゆで,103
やぶまめ　乾,383
らいまめ　全粒　乾,306
らいまめ　全粒　ゆで,122
りょくとう　全粒　乾,319
りょくとう　全粒　ゆで,125
レンズまめ　全粒　乾,313
レンズまめ　全粒　ゆで,149
アーモンド　乾,609
アーモンド　フライ　味付け,626
